date,state,state_name,ev,prob,dem_q05,dem_q25,dem_exp,dem_q75,dem_q95,recount,tipping_pt,rel_voter_power
2020-03-26,AK,Alaska,3,0.019,0.3214,0.3666,0.4004,0.4322,0.4786,3e-4,0.0017,0.7921
2020-03-26,AL,Alabama,9,0.0043,0.2973,0.3413,0.3738,0.4081,0.4545,0,3e-4,0.0238
2020-03-26,AR,Arkansas,6,0.0063,0.2988,0.3419,0.3749,0.4083,0.4553,0,0.0017,0.2232
2020-03-26,AZ,Arizona,11,0.1527,0.3757,0.4179,0.4509,0.4826,0.532,0.0063,0.0407,2.3931
2020-03-26,CA,California,55,0.994,0.5503,0.5986,0.6323,0.6633,0.7051,0,0,0
2020-03-26,CO,Colorado,9,0.5403,0.4199,0.4718,0.5053,0.5385,0.5891,0.0053,0.034,1.8518
2020-03-26,CT,Connecticut,7,0.8857,0.4779,0.5268,0.5592,0.5911,0.6356,7e-4,0.0037,0.3375
2020-03-26,DC,District of Columbia,3,1,0.9287,0.943,0.9504,0.9573,0.9656,0,0,0
2020-03-26,DE,Delaware,3,0.9647,0.5084,0.5604,0.5983,0.6338,0.6796,0,3e-4,0.1143
2020-03-26,FL,Florida,29,0.275,0.3834,0.4335,0.4663,0.5036,0.5546,0.0237,0.157,2.5237
2020-03-26,GA,Georgia,16,0.1713,0.3683,0.4156,0.4518,0.4854,0.5355,0.0093,0.06,2.208
2020-03-26,HI,Hawaii,4,1,0.5918,0.6423,0.6734,0.703,0.7454,0,0,0
2020-03-26,IA,Iowa,6,0.1483,0.3684,0.4149,0.4479,0.4807,0.5282,0.004,0.0247,2.3857
2020-03-26,ID,Idaho,4,3e-4,0.2323,0.2727,0.3027,0.3344,0.3816,0,0,0
2020-03-26,IL,Illinois,20,0.8213,0.4605,0.5119,0.5477,0.5823,0.6298,0.0033,0.018,0.4923
2020-03-26,IN,Indiana,11,0.0313,0.3212,0.371,0.4049,0.4385,0.4878,0.001,0.0087,0.4798
2020-03-26,KS,Kansas,6,0.009,0.2973,0.3424,0.374,0.4062,0.4529,0,7e-4,0.0852
2020-03-26,KY,Kentucky,8,0.0047,0.292,0.332,0.366,0.3987,0.4506,0,0.001,0.0787
2020-03-26,LA,Louisiana,8,0.0263,0.3231,0.3681,0.4019,0.4356,0.4858,0,0.0047,0.3483
2020-03-26,MA,Massachusetts,11,0.9943,0.5502,0.6001,0.6315,0.6622,0.7043,0,0,0
2020-03-26,MD,Maryland,10,0.9943,0.5421,0.5919,0.6266,0.6579,0.7001,0,0,0
2020-03-26,ME,Maine,4,0.6273,0.4316,0.4823,0.5181,0.5516,0.6004,0.001,0.014,2.7464
2020-03-26,MI,Michigan,16,0.4183,0.4114,0.4589,0.4902,0.522,0.5679,0.015,0.085,2.6818
2020-03-26,MN,Minnesota,10,0.439,0.4045,0.4573,0.4913,0.5264,0.5759,0.0077,0.053,2.7253
2020-03-26,MO,Missouri,10,0.0253,0.317,0.3644,0.3963,0.4317,0.4822,0,0.0043,0.2336
2020-03-26,MS,Mississippi,6,0.0397,0.329,0.3773,0.4111,0.445,0.4947,3e-4,0.0093,1.1686
2020-03-26,MT,Montana,3,0.0073,0.3066,0.3517,0.3803,0.4125,0.4598,0,3e-4,0.1021
2020-03-26,NC,North Carolina,15,0.222,0.378,0.4267,0.4611,0.4948,0.5492,0.0117,0.073,2.3312
2020-03-26,ND,North Dakota,3,0,0.2497,0.2899,0.3188,0.3508,0.4006,0,0,0
2020-03-26,NE,Nebraska,5,0.0023,0.2896,0.3282,0.3615,0.3937,0.4435,0,0,0
2020-03-26,NH,New Hampshire,4,0.4257,0.4113,0.4597,0.4915,0.525,0.5732,0.0047,0.0233,4.747
2020-03-26,NJ,New Jersey,14,0.8927,0.4756,0.5305,0.5642,0.595,0.6427,0.0023,0.0067,0.2606
2020-03-26,NM,New Mexico,5,0.7317,0.4435,0.4969,0.5321,0.5661,0.6114,0.003,0.0107,2.0232
2020-03-26,NV,Nevada,6,0.4913,0.4155,0.4659,0.4987,0.5345,0.5834,0.0037,0.0277,3.7226
2020-03-26,NY,New York,29,0.9577,0.5035,0.5526,0.5871,0.6199,0.6645,7e-4,0.002,0.0388
2020-03-26,OH,Ohio,18,0.1463,0.3729,0.4175,0.4487,0.4817,0.5313,0.01,0.0637,1.7539
2020-03-26,OK,Oklahoma,7,0,0.2405,0.2773,0.3069,0.338,0.3817,0,0,0
2020-03-26,OR,Oregon,7,0.7977,0.4618,0.5078,0.5424,0.577,0.6211,0.0027,0.0113,0.8575
2020-03-26,PA,Pennsylvania,20,0.3467,0.4011,0.4482,0.4796,0.5133,0.5612,0.017,0.119,2.9465
2020-03-26,RI,Rhode Island,4,0.9523,0.5019,0.5535,0.5868,0.6221,0.671,0,3e-4,0.1087
2020-03-26,SC,South Carolina,9,0.065,0.3427,0.3892,0.4225,0.4564,0.5063,0.0023,0.018,1.296
2020-03-26,SD,South Dakota,3,3e-4,0.2796,0.3178,0.3487,0.3784,0.424,0,0,0
2020-03-26,TN,Tennessee,11,0.004,0.2869,0.3284,0.3608,0.3944,0.4454,0,0.0017,0.1006
2020-03-26,TX,Texas,38,0.0903,0.3544,0.4005,0.434,0.4685,0.5172,0.0123,0.0813,1.3731
2020-03-26,UT,Utah,6,7e-4,0.2405,0.2845,0.3129,0.3435,0.3936,0,0,0
2020-03-26,VA,Virginia,13,0.3717,0.3946,0.4455,0.4811,0.518,0.5691,0.0123,0.0613,2.3318
2020-03-26,VT,Vermont,3,0.998,0.5626,0.6153,0.6481,0.6797,0.721,0,0,0
2020-03-26,WA,Washington,12,0.899,0.4826,0.5327,0.5663,0.5996,0.6446,0,0.0047,0.213
2020-03-26,WI,Wisconsin,10,0.3247,0.4005,0.4473,0.4784,0.5108,0.5594,0.0107,0.057,2.9001
2020-03-26,WV,West Virginia,5,0,0.2282,0.2673,0.2965,0.3257,0.3712,0,0,0
2020-03-26,WY,Wyoming,3,0,0.1811,0.2136,0.2376,0.2657,0.307,0,0,0
2020-03-28,AK,Alaska,3,0.014,0.3247,0.3672,0.3972,0.4285,0.4735,7e-4,0.003,1.4168
2020-03-28,AL,Alabama,9,0.0093,0.2984,0.3415,0.3734,0.4061,0.459,0,0,0
2020-03-28,AR,Arkansas,6,0.0067,0.2964,0.3404,0.3741,0.4062,0.4567,7e-4,7e-4,0.0887
2020-03-28,AZ,Arizona,11,0.144,0.3738,0.4173,0.4505,0.4832,0.5268,0.009,0.0523,3.0603
2020-03-28,CA,California,55,0.995,0.5496,0.5974,0.6293,0.662,0.7016,3e-4,0,0
2020-03-28,CO,Colorado,9,0.5557,0.425,0.4727,0.5064,0.5418,0.5895,0.0067,0.028,1.5154
2020-03-28,CT,Connecticut,7,0.8777,0.4763,0.5232,0.5566,0.5888,0.6388,0.002,0.0027,0.2439
2020-03-28,DC,District of Columbia,3,1,0.9289,0.9422,0.95,0.957,0.9653,0,0,0
2020-03-28,DE,Delaware,3,0.9707,0.5148,0.5626,0.595,0.6286,0.6736,0,7e-4,0.2272
2020-03-28,FL,Florida,29,0.2627,0.3874,0.4351,0.4672,0.5018,0.5515,0.0267,0.1483,2.3694
2020-03-28,GA,Georgia,16,0.1563,0.372,0.4178,0.4509,0.4845,0.5322,0.0103,0.06,2.1942
2020-03-28,HI,Hawaii,4,1,0.5953,0.6397,0.6722,0.7037,0.7454,0,0,0
2020-03-28,IA,Iowa,6,0.16,0.3678,0.415,0.4495,0.4833,0.5335,0.003,0.0233,2.2426
2020-03-28,ID,Idaho,4,0,0.238,0.2744,0.3032,0.3336,0.3817,0,0,0
2020-03-28,IL,Illinois,20,0.823,0.4662,0.5118,0.5466,0.5807,0.6248,0.0023,0.019,0.5164
2020-03-28,IN,Indiana,11,0.0207,0.3275,0.3723,0.4046,0.4374,0.4824,0.0017,0.0093,0.5135
2020-03-28,KS,Kansas,6,0.006,0.3007,0.3431,0.3741,0.4077,0.4548,0,0.0017,0.2117
2020-03-28,KY,Kentucky,8,0.003,0.2903,0.3334,0.3654,0.3973,0.4463,0,3e-4,0.0261
2020-03-28,LA,Louisiana,8,0.033,0.318,0.3663,0.3998,0.4338,0.49,0.0013,0.0043,0.3214
2020-03-28,MA,Massachusetts,11,0.9983,0.5527,0.5983,0.6325,0.6637,0.7065,0,0,0
2020-03-28,MD,Maryland,10,0.9907,0.541,0.5903,0.6216,0.6542,0.6981,0,0,0
2020-03-28,ME,Maine,4,0.6103,0.4338,0.4805,0.5144,0.5505,0.5985,0.0033,0.0153,2.9891
2020-03-28,MI,Michigan,16,0.4067,0.417,0.4597,0.4901,0.5198,0.5652,0.016,0.0963,3.0203
2020-03-28,MN,Minnesota,10,0.4117,0.4056,0.4532,0.4883,0.5212,0.572,0.0083,0.0467,2.3846
2020-03-28,MO,Missouri,10,0.0187,0.3251,0.3666,0.3989,0.4309,0.4752,0.0013,0.004,0.2143
2020-03-28,MS,Mississippi,6,0.0423,0.3376,0.38,0.4117,0.4459,0.4945,0.0013,0.0057,0.7051
2020-03-28,MT,Montana,3,0.0057,0.3057,0.3467,0.378,0.4109,0.4575,0,3e-4,0.1014
2020-03-28,NC,North Carolina,15,0.2113,0.3779,0.4241,0.4586,0.4935,0.5457,0.01,0.063,1.9993
2020-03-28,ND,North Dakota,3,0,0.2527,0.2914,0.3201,0.3502,0.3932,0,0,0
2020-03-28,NE,Nebraska,5,0.0023,0.2851,0.3262,0.3574,0.3875,0.4335,0,0,0
2020-03-28,NH,New Hampshire,4,0.416,0.4102,0.4578,0.4902,0.5241,0.57,0.0033,0.0233,4.7172
2020-03-28,NJ,New Jersey,14,0.8967,0.4815,0.5293,0.5615,0.5932,0.6369,7e-4,0.0057,0.2201
2020-03-28,NM,New Mexico,5,0.7137,0.4453,0.4945,0.5273,0.5611,0.6087,0.0017,0.01,1.8849
2020-03-28,NV,Nevada,6,0.494,0.4198,0.4648,0.4992,0.5329,0.579,0.0043,0.0283,3.7884
