date,state,national,firm,dem
2020-03-21,48,TRUE,Ipsos,0.5384615384615384
2020-03-23,48,TRUE,YouGov,0.5227272727272727
2020-03-21,23,FALSE,Baldwin Wallace University,0.5284916201117318
2020-03-21,36,FALSE,Baldwin Wallace University,0.47613762486126526
2020-03-21,39,FALSE,Baldwin Wallace University,0.489010989010989
2020-03-21,49,FALSE,Baldwin Wallace University,0.5005574136008919
2020-03-23,48,TRUE,Fox News/Beacon Research/Shaw & Co. Research,0.550561797752809
2020-03-25,48,TRUE,YouGov,0.5348837209302325
2020-03-24,48,TRUE,ABC News/Washington Post,0.5319148936170213
2020-03-24,48,TRUE,ABC News/Washington Post,0.5104166666666666
2020-03-24,35,FALSE,Siena College,0.6373626373626373
2020-03-25,48,TRUE,Harris Insights & Analytics,0.55
2020-03-26,48,TRUE,Morning Consult,0.5227272727272727
2020-03-30,48,TRUE,Ipsos,0.5348837209302325
2020-03-29,48,TRUE,Selzer & Co.,0.5222222222222223
2020-03-27,48,TRUE,RMG Research,0.5294117647058824
2020-03-30,48,TRUE,YouGov,0.5227272727272727
2020-03-28,5,FALSE,Public Policy Polling,0.6979166666666666
2020-03-26,49,FALSE,Marquette University Law School,0.5161290322580645
2020-03-27,48,TRUE,Change Research,0.532608695652174
2020-03-22,48,TRUE,Echelon Insights,0.5494505494505495
2020-03-31,23,FALSE,Public Policy Polling,0.5161290322580645
2020-03-31,11,FALSE,Other,0.48936170212765956
2020-03-31,23,FALSE,Spry Strategies,0.49831393451539213
2020-04-02,10,FALSE,University of North Florida,0.5348837209302325
2020-03-31,48,TRUE,IBD/TIPP,0.5340909090909091
2020-04-02,48,TRUE,Morning Consult,0.5227272727272727
2020-04-03,48,TRUE,Other,0.5294117647058824
2020-04-06,48,TRUE,Ipsos,0.5375
2020-04-06,48,TRUE,YouGov,0.5333333333333333
2020-04-05,48,TRUE,NBC News/Wall Street Journal,0.5301204819277109
2020-04-04,48,TRUE,Quinnipiac University,0.5444444444444444
2020-04-05,48,TRUE,Monmouth University,0.5217391304347826
2020-04-05,48,TRUE,SSRS,0.5578947368421052
2020-04-06,48,TRUE,YouGov,0.550561797752809
2020-04-02,48,TRUE,Change Research,0.48863636363636365
2020-04-06,48,TRUE,Fox News/Beacon Research/Shaw & Co. Research,0.5
2020-03-25,45,FALSE,Y2 Analytics,0.47126436781609193
2020-04-04,48,TRUE,Garin-Hart-Yang Research Group,0.5376344086021505
2020-04-07,23,FALSE,Garin-Hart-Yang Research Group,0.5494505494505495
2020-04-07,49,FALSE,Garin-Hart-Yang Research Group,0.5052631578947369
2020-04-07,48,TRUE,Optimus,0.5808538163001293
2020-04-07,48,TRUE,Optimus,0.5494276795005203
2020-04-01,48,TRUE,Optimus,0.5544174135723432
2020-04-01,48,TRUE,Optimus,0.5340425531914894
2020-03-25,48,TRUE,Optimus,0.5524296675191817
2020-03-25,48,TRUE,Optimus,0.54419595314164
2020-04-07,4,FALSE,OH Predictive Insights/MBQF,0.5473684210526316
2020-03-29,7,FALSE,Sacred Heart University,0.581081081081081
2020-04-01,46,FALSE,Virginia Commonwealth University,0.5543478260869565
2020-04-13,48,TRUE,Ipsos,0.5294117647058824
2020-04-13,48,TRUE,Civiqs,0.5217391304347826
2020-04-13,48,TRUE,YouGov,0.5274725274725275
2020-04-06,28,FALSE,Harper Polling,0.46153846153846156
